names,state,electoral_position,electoral_level,electoral_branch,candidate_page,campaign_website_url,camp_hand,off_hand,per_hand,party,election_result,number_of_votes_for_race,number_of_votes_for_candidate,vote_share,error-type_color-contrast,error-type_landmark-one-main,error-type_region,error-type_link-name,error-type_label,error-type_page-has-heading-one,error-type_meta-viewport,error-type_heading-order,error-type_image-alt,error-type_bypass,error-type_empty-heading,number_of_pages,number_of_total_errors,number_of_critical_errors,number_of_serious_errors,number_of_moderate_errors,number_of_minor_errors,number_of_words,number_of_unique_words,ease_of_reading,error-type_tabindex,error-type_aria-allowed-role,error-type_aria-valid-attr-value,error-type_frame-title,error-type_duplicate-id-aria,error-type_skip-link,error-type_duplicate-id,error-type_html-has-lang,error-type_document-title,error-type_aria-roles,error-type_aria-valid-attr,error-type_button-name,error-type_checkboxgroup,error-type_definition-list,error-type_frame-title-unique,error-type_duplicate-id-active,error-type_label-title-only,error-type_image-redundant-alt,error-type_autocomplete-valid,error-type_aria-required-children,error-type_listitem,error-type_aria-allowed-attr,error-type_list,error-type_landmark-no-duplicate-banner,error-type_landmark-contentinfo-is-top-level,error-type_input-image-alt,number_of_total_trackers,behaviour_event_listeners,canvas_fingerprinters,canvas_font_fingerprinters,cookies,fb_pixel_events,key_logging,session_recorders,third_party_trackers,error-type_landmark-no-duplicate-contentinfo,error-type_radiogroup,error-type_landmark-main-is-top-level,error-type_aria-required-attr,error-type_meta-viewport-large,location,error-type_dlitem,error-type_landmark-banner-is-top-level,error-type_meta-refresh,error-type_aria-required-parent,error-type_marquee,error-type_object-alt,area,error-type_area-alt,error-type_table-duplicate-name,competitiveness
Wendell Major,Alabama,Attorney General,State,Executive,https://ballotpedia.org/Wendell_Major,https://wendellmajor.com/,,,,Democratic Party,Lost,"1,307,653","424,718",0.325,64,30,30,22,16,10,8,3,2,2,2,30,189,26,88,73,2,2110,483,36.808,,,,,,,,,,,,,,,,,,,,,,,,,,,29,5,0,0,15,0,0,0,9,,,,,,,,,,,,,,,,0.175
Kris Mayes,Arizona,Attorney General,State,Executive,https://ballotpedia.org/Kris_Mayes,https://www.krismayes.com,krismayes,,,Democratic Party,Won,"2,512,390","1,254,809",0.499,10,,,,3,1,,,,,,1,16,3,11,1,1,436,242,61.67,1,1,,,,,,,,,,,,,,,,,,,,,,,,,19,11,0,0,4,0,0,0,4,,,,,,,,,,,,,,,,0.001
Jessica Kordas,Connecticut,Attorney General,State,Executive,https://ballotpedia.org/Jessica_Kordas,https://www.jessicakordas2022.com/,Jkordas2022,,,Republican Party,Lost,"1,215,234","508,753",0.419,2,1,1,1,,,1,,1,,,1,8,2,4,2,0,60,41,73.68,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,0,0,0,3,0,0,0,0,,,,,,,,,,,,,,,,0.081
Julianne Murray,Delaware,Attorney General,State,Executive,https://ballotpedia.org/Julianne_Murray,https://murrayfordelaware.com,murray4de,,,Republican Party,Lost,"319,156","147,353",0.462,1,1,1,,,1,1,,,,,1,7,1,3,3,0,4,4,118.18,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,0.038
Aramis Ayala,Florida,Attorney General,State,Executive,https://ballotpedia.org/Aramis_Ayala,https://www.aramisayala.com/,AramisAyalaFL,,,Democratic Party,Lost,"7,016,437","2,788,438",0.397,11,,,6,,,,1,54,,,1,77,58,17,1,1,116,86,56.39,,,,,,,1,,,3,1,,,,,,,,,,,,,,,,6,0,0,0,1,0,0,0,5,,,,,,,,,,,,,,,,0.103
Raúl Labrador,Idaho,Attorney General,State,Executive,https://ballotpedia.org/Raul_Labrador,http://labrador2022.com/,RaulLabrador4ID,,Raul_Labrador,Republican Party,Won,"583,610","365,061",0.626,431,4,4,28,34,33,,25,,,2,33,591,64,459,66,2,7550,1059,46.76666667,,,,,,,,,,,,29,1,,,,,,,,,,,,,,42,14,4,0,4,0,0,0,20,,,,,,,,,,,,,,,,0.126
Tom Arkoosh,Idaho,Attorney General,State,Executive,https://ballotpedia.org/Tom_Arkoosh,https://www.arkooshforag.com/,ArkooshForAG,,,Democratic Party,Lost,"583,610","218,549",0.374,2,1,1,4,,,1,,,,2,1,13,1,8,2,2,673,285,47.46,,,,2,,,,,,,,,,,,,,,,,,,,,,,47,25,7,0,4,0,0,0,11,,,,,,,,,,,,,,,,0.126
Thomas DeVore,Illinois,Attorney General,State,Executive,https://ballotpedia.org/Thomas_DeVore,https://www.tomdevore.com/,,,,Republican Party,Lost,"3,782,932","1,662,788",0.44,1122,80,89,271,297,46,,202,,,,93,2334,301,1418,595,20,18042,116,47.25,,3,,1,4,178,17,4,4,,,,,13,2,1,,,,,,,,,,,31,9,6,1,5,0,0,0,10,,,,,,,,,,,,,,,,0.06
Dan Robin,Illinois,Attorney General,State,Executive,https://ballotpedia.org/Dan_Robin,https://danrobin4ag.org/,,,,Libertarian Party,Lost,"3,782,932","84,394",0.022,13,,,,,,,12,14,,,13,394,15,13,12,354,3371,990,62.64153846,,326,,,,,28,,,,,1,,,,,,,,,,,,,,,8,5,0,0,3,0,0,0,0,,,,,,,,,,,,,,,,0.478
Kris Kobach,Kansas,Attorney General,State,Executive,https://ballotpedia.org/Kris_Kobach,https://kriskobach.com/,KrisKobach1787,,,Republican Party,Won,"965,214","494,021",0.512,19,3,2,14,11,3,,,,1,,3,64,11,45,8,0,1076,423,52.54,,,,,,,,,,,,,,,,,11,,,,,,,,,,5,2,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.012
Chris Mann,Kansas,Attorney General,State,Executive,https://ballotpedia.org/Chris_Mann_(Kansas),https://www.chrismannforkansas.com/,chrismannks,,,Democratic Party,Lost,"965,214","471,193",0.488,13,3,3,18,,,,,7,,,5,58,9,37,8,4,1187,529,70.586,,,1,2,,2,,1,,,,,,,,,,4,3,1,,,,,,,92,13,4,0,27,4,0,0,44,,,,,,,,,,,,,,,,0.012
Michael Anthony Peroutka,Maryland,Attorney General,State,Executive,https://ballotpedia.org/Michael_Anthony_Peroutka,https://patriots4peroutka.com,Patriots4Perou1,,,Republican Party,Lost,"1,467,148","586,423",0.4,87,,,,,3,,8,,,,59,1071,60,223,11,777,13337,1743,48.2379661,,777,60,34,,,,,,,,,,,,43,,,59,,,,,,,,27,8,0,0,14,0,0,0,5,,,,,,,,,,,,,,,,0.1
Andrea Campbell,Massachusetts,Attorney General,State,Executive,https://ballotpedia.org/Andrea_Joy_Campbell,https://www.andreacampbell.org/,AndreaForAG,,,Democratic Party,Won,"1,981,739","1,241,298",0.626,606,72,123,294,40,2,5,95,83,,65,125,2166,237,1089,300,540,72931,8342,11.97725806,,154,22,20,57,2,303,4,,,10,8,1,,66,76,,18,3,2,12,8,8,3,3,1,305,34,2,0,120,2,0,2,145,,,,,,,,,,,,,,,,0.126
James McMahon,Massachusetts,Attorney General,State,Executive,https://ballotpedia.org/James_McMahon,https://www.attorneyjaymcmahon.com/,attorneymcmahon,,,Republican Party,Lost,"1,981,739","740,441",0.374,182,,38,38,1,,,2,,,2,38,483,3,262,40,178,32263,1744,47.80973684,,148,,42,,,28,,,,,,2,,,,,,,,,,,,,,95,12,2,0,5,0,0,0,76,,,,,,,,,,,,,,,,0.126
Matthew DePerno,Michigan,Attorney General,State,Executive,https://ballotpedia.org/Matthew_DePerno,https://www.depernoformi.com/,deperno4mi,,mdeperno,Republican Party,Lost,"4,375,821","1,948,525",0.445,,4,4,8,,,,8,8,,11,4,53,8,10,16,19,1329,550,53.9175,,8,,2,,,,,,,,,,,,,,,,,,,,,,,41,12,0,0,11,0,0,0,18,,,,,,,,,,,,,,,,0.055
Joe McHugh,Michigan,Attorney General,State,Executive,https://ballotpedia.org/Joe_McHugh,https://libertystrikesback.com/,votejoemchugh,,,Libertarian Party,Lost,"4,375,821","67,826",0.016,1,1,1,,,,1,3,1,,10,1,36,3,10,5,18,3200,1189,46.71,,6,,8,,,2,,,,,,,,,,1,,,,,1,,,,,97,11,6,1,6,0,1,0,72,,,,,,,,,,,,,,,,0.484
Larry Bolinger,Nebraska,Attorney General,State,Executive,https://ballotpedia.org/Larry_Bolinger,https://larrybolinger.com,Bolinger_Larry,,,Legal Marijuana Now Party,Lost,"575,164","173,177",0.301,374,7,7,,,7,,,3,4,,7,415,3,381,21,10,15233,2589,49.33166667,,3,,,,,7,,,,,,,,,,,,,,,,3,,,,4,2,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,0.199
Sigal Chattah,Nevada,Attorney General,State,Executive,https://ballotpedia.org/Sigal_Chattah,https://chattah4nevada.com/,Chattah4Nevada,,chattahlaw,Republican Party,Lost,"960,042","426,202",0.444,68,1,1,8,2,,,1,,,,1,85,3,76,3,3,749,355,61.29,,,,,1,,3,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,0.056
Raul Torrez,New Mexico,Attorney General,State,Executive,https://ballotpedia.org/Raul_Torrez,https://www.raultorrez.com/,TorrezforNM,,,Democratic Party,Won,"700,128","386,862",0.553,2,1,1,1,,,1,,1,,,1,8,2,4,2,0,60,41,73.68,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,0,0,0,3,0,0,0,0,,,,,,,,,,,,,,,,0.053
Gentner Drummond,Oklahoma,Attorney General,State,Executive,https://ballotpedia.org/Gentner_Drummond,https://drummondok.com,,,,Republican Party,Won,"1,065,887","787,385",0.739,29,5,5,5,17,,3,2,50,,2,5,134,70,34,12,18,125,61,69.172,,,,,,,16,,,,,,,,,,,,,,,,,,,,26,4,0,0,1,3,0,0,18,,,,,,,,,,,,,,,,0.239
