names,location,state,candidate_page,electoral_position,electoral_branch,electoral_level,area,campaign_website_url,camp_hand,off_hand,per_hand,party,error-type_link-name,error-type_heading-order,error-type_aria-allowed-role,error-type_image-alt,error-type_checkboxgroup,error-type_label,error-type_landmark-one-main,error-type_region,number_of_pages,number_of_total_errors,number_of_critical_errors,number_of_serious_errors,number_of_moderate_errors,number_of_minor_errors,number_of_words,number_of_unique_words,ease_of_reading,error-type_color-contrast,error-type_document-title,error-type_page-has-heading-one,error-type_object-alt,error-type_frame-title,error-type_empty-heading,error-type_duplicate-id,error-type_aria-valid-attr-value,error-type_meta-viewport,error-type_landmark-no-duplicate-banner,error-type_tabindex,error-type_html-has-lang,error-type_landmark-no-duplicate-contentinfo,error-type_bypass,error-type_skip-link,error-type_frame-title-unique,error-type_list,error-type_button-name,error-type_label-title-only,error-type_duplicate-id-active,error-type_radiogroup,error-type_duplicate-id-aria,error-type_aria-valid-attr,error-type_landmark-banner-is-top-level,error-type_landmark-main-is-top-level,error-type_aria-required-children,error-type_listitem,error-type_input-image-alt,error-type_autocomplete-valid,error-type_aria-allowed-attr,number_of_total_trackers,behaviour_event_listeners,canvas_fingerprinters,canvas_font_fingerprinters,cookies,fb_pixel_events,key_logging,session_recorders,third_party_trackers
Chase Studstill,"Atkinson, Berrien, Clinch, Cook, Lanier",Georgia,"https://ballotpedia.org/Chase_Studstill_(Alapaha_Circuit_District_Attorney,_Georgia,_candidate_2022)",Judicial elections,Judicial,County,,https://www.keepstudstill.com,,,,Republican Party,3,3,3,2,1,1,1,1,1,15,3,4,5,3,224,139,67.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,9,0,0,10,0,0,0,9
Deborah Lynn,Barrow,Georgia,"https://ballotpedia.org/Deborah_Lynn_(Barrow_County_Commission,_District_6,_Georgia,_candidate_2022)",County Commission,Legislative,County,District 6,https://www.lynn2win4barrow.com/,,,,Republican Party,2,,,,,,,,1,3,0,3,0,0,310,175,53.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,16,0,0,5,0,0,0,14
Matt Shultz,Bartow,Georgia,"https://ballotpedia.org/Matt_Shultz_(Bartow_County_Board_of_Education_District_3,_Georgia,_candidate_2022)",County Board of Education,Executive,County,District 3,http://www.mattshultz.org/,mattshultz,,,Republican Party,1326,206,,24,,603,707,707,707,3871,627,1506,1720,18,20503,25,89.45,38,100,100,23,19,10,8,,,,,,,,,,,,,,,,,,,,,,,,16,16,0,0,0,0,0,0,0
Steve Fuller,Carroll,Georgia,"https://ballotpedia.org/Steve_Fuller_(Carroll_County_Commission,_District_4,_Georgia,_candidate_2022)",County Commission,Legislative,County,District 4,https://fuller4carroll.com,,,,Republican Party,,3,65,,,,,10,10,121,10,22,23,66,1835,657,82.517,22,,6,,,1,,5,5,4,,,,,,,,,,,,,,,,,,,,,72,37,3,0,9,0,0,0,23
Dan Mawhorr,Adams,Indiana,"https://ballotpedia.org/Dan_Mawhorr_(Adams_County_Sheriff,_Indiana,_candidate_2022)",County Sheriff,Executive,County,,https://www.danmawhorrforsheriff.com/,,,,Republican Party,,,,1,,1,1,1,1,5,3,0,2,0,0,0,206.84,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,71,66,3,0,1,0,0,0,1
Peter J. Iversen,Monroe,Indiana,"https://ballotpedia.org/Peter_J._Iversen_(Monroe_County_Council,_District_1,_Indiana,_candidate_2022)",County Council,Legislative,County,District 1,https://peteriversen.org/,peteriversen_,,,Democratic Party,,,5,,,,,,5,15,0,5,4,6,462,221,64.284,,,4,,,1,,,,,5,,,,,,,,,,,,,,,,,,,,85,75,3,0,3,0,0,0,4
Andy Rutten,St. Joseph,Indiana,"https://ballotpedia.org/Andy_Rutten_(Penn-Harris-Madison_School_Board_At-large,_Indiana,_candidate_2022)",School Board,Executive,Special District,At-large,https://www.andyforphm.com,,,,Nonpartisan,,3,35,7,,,,1,1,53,7,0,4,42,340,187,53.44,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,85,78,3,0,4,0,0,0,0
Luc Angelot,Wicomico,Maryland,"https://ballotpedia.org/Luc_Angelot_(Wicomico_County_Board_of_Education,_District_1,_Maryland,_candidate_2022)",County Board of Education,Executive,County,District 1,https://lucangelot.com,lucangelot,,,Nonpartisan,2,,,,,,,,1,5,0,5,0,0,151,90,69.21,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,85,3,0,5,0,0,0,31
Laura Gannon,Anoka,Minnesota,"https://ballotpedia.org/Laura_Gannon_(Centennial_School_Board,_Minnesota,_candidate_2022)",School Board,Executive,Special District,,https://lauragannon4isd12.com/,,,,Nonpartisan,,1,36,,,,,,7,73,0,27,10,36,2398,707,9.122857143,27,,2,,,,,,,7,,,,,,,,,,,,,,,,,,,,,96,89,7,0,0,0,0,0,0
Courtney Johnson,Carver,Minnesota,"https://ballotpedia.org/Courtney_Johnson_(Mayor_of_Carver,_Minnesota,_candidate_2022)",Mayor,Executive,City,,https://www.courtney4mayor.com,,,,Nonpartisan,,,,,,,1,1,1,5,0,2,3,0,0,0,206.84,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,97,89,7,0,1,0,0,0,0
